value,self_ppl_mean,self_ppl_sd,posthoc_ppl_mean,posthoc_ppl_sd
10,4.644462313687817,0.23946050216090226,2094263460.48,723411142.5332433
20,4.642413247566002,0.1910134960418929,2093930557.568,723554738.8208004
40,4.639751467436901,0.14228443766765098,2093913803.392,723540417.6164335
80,4.64423028710275,0.11746647224221543,2093626912.384,723369051.3618942
