seq_id,gen_time,avg_latency,self_ppl,posthoc_ppl,memory_mb,steps,mask_ratio
0,0.8164761066436768,0.009662759304046632,4.56003386994375,2520492800.0,456.6083984375,80,0.15
1,0.8225979804992676,0.009734317660331726,4.6218543376689745,3799183616.0,456.6083984375,80,0.15
2,0.8143973350524902,0.009641283750534057,4.722423758784163,1199204608.0,456.6083984375,80,0.15
3,0.8160598278045654,0.009659466147422791,4.642144896208146,1668335360.0,456.6083984375,80,0.15
4,0.8144936561584473,0.009641030430793762,4.707225544299452,3216039680.0,456.6083984375,80,0.15
5,0.8175668716430664,0.009678861498832703,4.787905515217649,2684862976.0,456.6083984375,80,0.15
6,0.8135864734649658,0.009630727767944335,4.558403814510466,4250511872.0,456.6083984375,80,0.15
7,0.8158698081970215,0.00965818464756012,4.849174935903119,2717102080.0,456.6083984375,80,0.15
8,0.8171136379241943,0.009672757983207703,4.765527554447349,2860039424.0,456.6083984375,80,0.15
9,0.8161840438842773,0.009662586450576782,4.640767687174756,2648637952.0,456.6083984375,80,0.15
10,0.8140487670898438,0.00963733196258545,4.699192661211508,3495795456.0,456.6083984375,80,0.15
11,0.8160314559936523,0.009657910466194153,4.4901316725356315,2201929728.0,456.6083984375,80,0.15
12,0.8151087760925293,0.009648415446281432,4.648199416529166,1695545344.0,456.6083984375,80,0.15
13,0.814619779586792,0.009645012021064759,4.5428493804179695,1888842496.0,456.6083984375,80,0.15
14,0.8138570785522461,0.009633150696754456,4.7769028288083035,2459627520.0,456.6083984375,80,0.15
15,0.8147335052490234,0.009642475843429565,4.7508057677068125,1477499392.0,456.6083984375,80,0.15
16,0.8153486251831055,0.009651106595993043,4.634096520873729,3452532224.0,456.6083984375,80,0.15
17,0.8187868595123291,0.0096940815448761,4.67913407477515,2441669120.0,456.6083984375,80,0.15
18,0.816091775894165,0.009658390283584594,4.688717633624339,1647540608.0,456.6083984375,80,0.15
19,0.8159782886505127,0.009657958149909973,4.696736147704581,1827554176.0,456.6083984375,80,0.15
20,0.8151810169219971,0.009650507569313049,4.5394275782375075,1518231424.0,456.6083984375,80,0.15
21,0.8160746097564697,0.00965942144393921,4.702782370650369,1575759616.0,456.6083984375,80,0.15
22,0.8135673999786377,0.009630799293518066,4.6490065196557335,2421411328.0,456.6083984375,80,0.15
23,0.8146352767944336,0.009641966223716736,4.6175525518918965,828021504.0,456.6083984375,80,0.15
24,0.8157768249511719,0.009658190608024596,4.676142887294698,3459281920.0,456.6083984375,80,0.15
25,0.8149135112762451,0.009648942947387695,4.586780629794654,1678670720.0,456.6083984375,80,0.15
26,0.814208984375,0.009639444947242736,4.659997555141554,2298868992.0,456.6083984375,80,0.15
27,0.8144259452819824,0.00964004099369049,4.4805058530899995,2340171520.0,456.6083984375,80,0.15
28,0.8156452178955078,0.009656533598899841,4.783088396128023,2904031488.0,456.6083984375,80,0.15
29,0.826007604598999,0.009768131375312804,4.61709224032275,1898841088.0,456.6083984375,80,0.15
30,0.8148572444915771,0.009646028280258179,4.629821953000721,1044316288.0,456.6083984375,80,0.15
31,0.8134822845458984,0.009627994894981385,4.955165882813539,2959744256.0,456.6083984375,80,0.15
32,0.8153579235076904,0.009652572870254516,4.454968985390303,3225241856.0,456.6083984375,80,0.15
33,0.8171625137329102,0.009673762321472167,4.529712711505412,1607694080.0,456.6083984375,80,0.15
34,0.8150343894958496,0.009649926424026489,4.659700625830047,2870324480.0,456.6083984375,80,0.15
35,0.8162703514099121,0.009661570191383362,4.715599642095244,3117330432.0,456.6083984375,80,0.15
36,0.8172481060028076,0.009676504135131835,4.647492381602394,2928354816.0,456.6083984375,80,0.15
37,0.816258430480957,0.009665635228157044,4.702663653609138,2235658240.0,456.6083984375,80,0.15
