seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,target_aa_length
seq_01119,3.1463,6.169,162.09,510,2.809,9.6436,745.82,42,1,0,1,1,510
seq_01120,3.1509,6.178,161.86,510,3.0272,9.565,745.82,42,1,0,1,1,510
seq_01121,3.1451,6.167,162.16,510,2.9295,12.3764,745.82,42,1,0,1,1,510
seq_01122,3.1846,6.244,160.15,510,3.3954,15.5323,745.82,42,1,0,1,1,510
seq_01123,3.1535,6.183,161.73,510,2.9533,11.0978,745.82,42,1,0,1,1,510
seq_01124,3.1534,6.183,161.73,510,3.2044,13.5683,745.82,42,1,0,1,1,510
seq_01125,3.1496,6.176,161.92,510,2.556,9.4318,745.82,42,1,0,1,1,510
seq_01126,3.1453,6.167,162.15,510,4.2755,16.1145,745.82,42,1,0,1,1,510
seq_01127,3.148,6.173,162.01,510,2.2776,5.866,745.82,42,1,0,1,1,510
seq_01128,3.1624,6.201,160.95,509,3.127,7.5929,745.82,42,1,0,1,1,510
seq_01129,3.1443,6.165,162.2,510,2.5814,9.886,745.82,42,1,0,1,1,510
seq_01130,3.151,6.179,161.85,510,2.7968,9.9255,745.82,42,1,0,1,1,510
seq_01131,3.1429,6.163,162.27,510,2.7604,10.3745,745.82,42,1,0,1,1,510
seq_01132,3.1542,6.185,161.69,510,2.688,11.9013,745.82,42,1,0,1,1,510
seq_01133,3.1493,6.175,159.4,502,3.9084,10.8359,745.82,42,1,0,1,1,510
seq_01134,3.1406,6.158,162.39,510,2.5099,7.8535,745.82,42,1,0,1,1,510
seq_01135,3.1742,6.224,160.67,510,2.2718,7.1466,745.82,42,1,0,1,1,510
seq_01136,3.1523,6.181,161.79,510,3.291,11.3843,745.82,42,1,0,1,1,510
seq_01137,3.152,6.18,161.8,510,3.3514,9.3795,745.82,42,1,0,1,1,510
seq_01138,3.1469,6.17,162.07,510,4.6324,15.6276,745.82,42,1,0,1,1,510
seq_01139,3.1466,6.17,162.08,510,2.4294,9.2368,745.82,42,1,0,1,1,510
seq_01140,3.1529,6.182,161.75,510,2.7306,10.9984,745.82,42,1,0,1,1,510
seq_01141,3.1528,6.182,161.76,510,2.5908,6.8126,745.82,42,1,0,1,1,510
seq_01142,3.147,6.171,162.06,510,2.6689,12.1987,745.82,42,1,0,1,1,510
seq_01143,3.1531,6.182,161.75,510,2.6834,9.7927,745.82,42,1,0,1,1,510
seq_01144,3.1521,6.18,161.8,510,3.1624,11.4349,745.82,42,1,0,1,1,510
seq_01145,3.1472,6.171,162.05,510,2.8399,10.2821,745.82,42,1,0,1,1,510
seq_01146,3.1517,6.18,161.5,509,5.4362,15.2616,745.82,42,1,0,1,1,510
seq_01147,3.1587,6.194,161.46,510,2.4698,8.7163,745.82,42,1,0,1,1,510
seq_01148,3.1591,6.194,161.44,510,3.0061,12.5398,745.82,42,1,0,1,1,510
seq_01149,3.1551,6.186,161.64,510,2.9639,9.348,745.82,42,1,0,1,1,510
seq_01150,3.1468,6.17,160.48,505,17.4046,46.5004,745.82,42,1,0,1,1,510
seq_01151,3.149,6.175,161.96,510,2.9927,13.5092,745.82,42,1,0,1,1,510
seq_01152,3.1548,6.186,160.39,506,9.3253,32.4112,745.82,42,1,0,1,1,510
seq_01153,3.1476,6.172,161.39,508,3.7765,8.4287,745.82,42,1,0,1,1,510
seq_01154,3.1659,6.208,161.09,510,2.8725,10.0008,745.82,42,1,0,1,1,510
seq_01155,3.1464,6.169,162.09,510,4.3709,13.2247,745.82,42,1,0,1,1,510
seq_01156,3.1545,6.185,161.67,510,3.8463,18.02,745.82,42,1,0,1,1,510
seq_01157,3.1474,6.171,162.04,510,3.1023,12.5915,745.82,42,1,0,1,1,510
seq_01158,3.1534,6.183,161.73,510,3.0642,12.5084,745.82,42,1,0,1,1,510
seq_01159,3.1483,6.173,161.99,510,2.7729,14.9919,745.82,42,1,0,1,1,510
seq_01160,3.1771,6.23,160.52,510,2.7464,9.5994,745.82,42,1,0,1,1,510
seq_01161,3.147,6.171,162.06,510,3.1443,11.3474,745.82,42,1,0,1,1,510
seq_01162,3.1556,6.188,161.62,510,3.25,11.997,745.82,42,1,0,1,1,510
seq_01163,3.1517,6.18,161.82,510,3.08,10.9041,745.82,42,1,0,1,1,510
seq_01164,3.1922,6.259,159.77,510,2.5712,7.3566,745.82,42,1,0,1,1,510
seq_01165,3.1474,6.171,162.04,510,4.0268,14.7449,745.82,42,1,0,1,1,510
seq_01166,3.1562,6.189,161.59,510,2.2897,6.8907,745.82,42,1,0,1,1,510
seq_01167,3.1499,6.176,161.91,510,3.1271,12.5678,745.82,42,1,0,1,1,510
seq_01168,3.1537,6.184,161.72,510,3.8106,12.0525,745.82,42,1,0,1,1,510
seq_01169,3.1473,6.171,162.04,510,3.1046,10.0337,745.82,42,1,0,1,1,510
seq_01170,3.1735,6.223,160.71,510,2.9648,14.2327,745.82,42,1,0,1,1,510
seq_01171,0.2541,4.537,208.61,53,9.4038,47.0759,612.51,42,1,0,1,1,510
seq_01172,3.1456,6.168,162.13,510,2.9399,13.684,745.82,42,1,0,1,1,510
seq_01173,3.1451,6.167,162.16,510,4.4414,14.7236,745.82,42,1,0,1,1,510
seq_01174,3.1632,6.202,161.23,510,2.7314,9.9578,745.82,42,1,0,1,1,510
seq_01175,3.1457,6.168,162.13,510,2.5593,9.1284,745.82,42,1,0,1,1,510
seq_01176,3.1506,6.178,161.87,510,2.5711,9.9055,745.82,42,1,0,1,1,510
seq_01177,3.1573,6.191,161.53,510,3.1562,11.6911,745.82,42,1,0,1,1,510
seq_01178,0.0184,4.604,217.19,4,16.6663,28.4115,598.69,42,1,0,1,1,510
seq_01179,3.1443,6.165,162.2,510,3.0576,10.1684,745.82,42,1,0,1,1,510
seq_01180,3.155,6.186,161.65,510,2.2424,7.9162,745.82,42,1,0,1,1,510
seq_01181,3.1474,6.171,162.04,510,2.6526,9.2086,745.82,42,1,0,1,1,510
seq_01182,3.1466,6.17,162.08,510,2.6574,8.8027,745.82,42,1,0,1,1,510
seq_01183,3.1484,6.173,161.99,510,2.77,8.8489,745.82,42,1,0,1,1,510
seq_01184,3.1521,6.181,161.8,510,2.9587,10.8467,745.82,42,1,0,1,1,510
seq_01185,3.1612,6.198,161.33,510,2.7099,11.3555,745.82,42,1,0,1,1,510
seq_01186,3.1435,6.164,162.24,510,3.2559,11.7054,745.82,42,1,0,1,1,510
seq_01187,3.1451,6.167,162.15,510,3.0332,13.0905,745.82,42,1,0,1,1,510
seq_01188,3.1475,6.172,162.03,510,2.5359,7.6186,745.82,42,1,0,1,1,510
seq_01189,3.1486,6.174,161.98,510,4.4936,14.5261,745.82,42,1,0,1,1,510
seq_01190,3.1473,6.171,162.04,510,2.6611,10.5674,745.82,42,1,0,1,1,510
seq_01191,3.1737,6.223,159.44,506,3.594,15.8838,745.82,42,1,0,1,1,510
seq_01192,3.1577,6.192,161.51,510,3.028,16.1051,745.82,42,1,0,1,1,510
seq_01193,3.1484,6.173,161.99,510,2.7271,10.7065,745.82,42,1,0,1,1,510
seq_01194,3.1425,6.162,162.29,510,2.7732,13.9354,745.82,42,1,0,1,1,510
seq_01195,3.1738,6.223,160.69,510,2.8135,10.6358,745.82,42,1,0,1,1,510
seq_01196,3.156,6.188,161.6,510,2.8197,9.2639,745.82,42,1,0,1,1,510
seq_01197,3.1605,6.197,161.37,510,3.3986,11.7831,745.82,42,1,0,1,1,510
seq_01198,3.1496,6.176,161.92,510,2.6399,9.7722,745.82,42,1,0,1,1,510
seq_01199,3.1559,6.188,161.6,510,2.6705,12.58,745.82,42,1,0,1,1,510
seq_01200,3.1563,6.189,160.95,508,9.3095,22.5156,745.82,42,1,0,1,1,510
seq_01201,3.1426,6.162,162.29,510,2.6296,13.2711,745.82,42,1,0,1,1,510
seq_01202,3.1482,6.173,162.0,510,2.597,12.6069,745.82,42,1,0,1,1,510
seq_01203,3.1437,6.164,162.23,510,3.5038,10.4763,745.82,42,1,0,1,1,510
seq_01204,3.1506,6.178,161.24,508,5.5235,16.3121,745.82,42,1,0,1,1,510
seq_01205,3.1456,6.168,162.13,510,3.0348,8.4427,745.82,42,1,0,1,1,510
seq_01206,3.1476,6.172,162.03,510,3.0022,11.0527,745.82,42,1,0,1,1,510
seq_01207,3.1484,6.173,161.99,510,5.4438,18.8941,745.82,42,1,0,1,1,510
seq_01208,3.1521,6.181,161.48,509,7.5126,24.3794,745.82,42,1,0,1,1,510
seq_01209,3.1476,6.172,162.03,510,2.1041,5.9639,745.82,42,1,0,1,1,510
seq_01210,3.1691,6.214,160.93,510,2.6301,8.8311,745.82,42,1,0,1,1,510
seq_01211,3.1537,6.184,161.71,510,3.336,13.5906,745.82,42,1,0,1,1,510
seq_01212,3.1595,6.195,161.42,510,3.3038,10.3805,745.82,42,1,0,1,1,510
seq_01213,3.1492,6.175,161.95,510,2.5486,8.9656,745.82,42,1,0,1,1,510
seq_01214,3.1571,6.19,161.54,510,3.1277,11.6967,745.82,42,1,0,1,1,510
seq_01215,3.1519,6.18,161.81,510,3.143,9.5525,745.82,42,1,0,1,1,510
seq_01216,3.1656,6.207,161.11,510,2.9483,11.3516,745.82,42,1,0,1,1,510
seq_01217,3.1505,6.177,161.88,510,3.1907,12.834,745.82,42,1,0,1,1,510
seq_01218,3.1544,6.185,161.68,510,2.2909,6.6263,745.82,42,1,0,1,1,510
seq_01219,3.1523,6.181,161.79,510,2.5944,7.243,745.82,42,1,0,1,1,510
seq_01220,3.1797,6.235,160.39,510,2.3939,9.8629,745.82,42,1,0,1,1,510
seq_01221,3.1446,6.166,162.19,510,2.5966,9.8776,745.82,42,1,0,1,1,510
seq_01222,3.147,6.171,162.06,510,2.7427,11.043,745.82,42,1,0,1,1,510
seq_01223,3.1702,6.216,160.87,510,3.2487,13.4925,745.82,42,1,0,1,1,510
seq_01224,3.158,6.192,161.49,510,2.7736,10.7596,745.82,42,1,0,1,1,510
seq_01225,3.1636,6.203,161.21,510,2.2902,7.4471,745.82,42,1,0,1,1,510
seq_01226,3.1627,6.201,161.26,510,3.3551,12.4618,745.82,42,1,0,1,1,510
seq_01227,3.1496,6.176,161.93,510,2.7652,11.5371,745.82,42,1,0,1,1,510
seq_01228,3.1572,6.191,161.54,510,2.5317,12.3489,745.82,42,1,0,1,1,510
seq_01229,3.1457,6.168,158.63,499,14.7131,48.6675,745.82,42,1,0,1,1,510
seq_01230,3.1538,6.184,161.71,510,3.0625,17.413,745.82,42,1,0,1,1,510
seq_01231,3.1602,6.197,161.38,510,4.1755,16.7254,745.82,42,1,0,1,1,510
seq_01232,0.0186,4.661,214.54,4,15.251,14.5384,598.69,42,1,0,1,1,510
seq_01233,3.1548,6.186,161.66,510,2.9001,10.605,745.82,42,1,0,1,1,510
seq_01234,3.1651,6.206,161.13,510,3.2004,12.7029,745.82,42,1,0,1,1,510
seq_01235,3.1511,6.179,161.85,510,2.384,9.1936,745.82,42,1,0,1,1,510
seq_01236,3.155,6.186,161.65,510,2.7643,9.7443,745.82,42,1,0,1,1,510
seq_01237,3.1467,6.17,162.08,510,2.7368,9.4182,745.82,42,1,0,1,1,510
seq_01238,3.1461,6.169,162.11,510,3.1727,13.2253,745.82,42,1,0,1,1,510
seq_01239,3.1506,6.178,161.87,510,3.0722,12.498,745.82,42,1,0,1,1,510
seq_01240,3.1747,6.225,160.64,510,2.6744,9.3295,745.82,42,1,0,1,1,510
seq_01241,3.1507,6.178,161.87,510,2.7292,9.0592,745.82,42,1,0,1,1,510
seq_01242,3.1515,6.179,161.83,510,2.9457,9.6522,745.82,42,1,0,1,1,510
seq_01243,3.142,6.161,162.31,510,2.8289,13.5315,745.82,42,1,0,1,1,510
seq_01244,3.178,6.231,160.48,510,2.8658,9.8969,745.82,42,1,0,1,1,510
seq_01245,3.1471,6.171,162.05,510,3.3258,17.4435,745.82,42,1,0,1,1,510
seq_01246,3.1518,6.18,161.81,510,2.7079,9.5676,745.82,42,1,0,1,1,510
seq_01247,3.1504,6.177,161.88,510,2.8893,11.347,745.82,42,1,0,1,1,510
seq_01248,3.1547,6.186,161.66,510,3.1721,12.5351,745.82,42,1,0,1,1,510
seq_01249,3.1439,6.165,162.22,510,9.7834,27.4373,745.82,42,1,0,1,1,510
seq_01250,3.1474,6.171,162.04,510,2.7352,13.542,745.82,42,1,0,1,1,510
seq_01251,3.1523,6.181,160.83,507,18.2202,63.6382,745.82,42,1,0,1,1,510
seq_01252,3.1579,6.192,161.5,510,3.2065,15.1955,745.82,42,1,0,1,1,510
seq_01253,3.1663,6.208,161.07,510,2.3865,6.1202,745.82,42,1,0,1,1,510
seq_01254,3.1512,6.179,161.84,510,2.8696,10.7444,745.82,42,1,0,1,1,510
seq_01255,3.1547,6.186,161.66,510,2.6818,11.0786,745.82,42,1,0,1,1,510
seq_01256,3.1492,6.175,161.95,510,4.75,20.2768,745.82,42,1,0,1,1,510
seq_01257,3.1416,6.16,161.7,508,7.9225,39.1538,745.82,42,1,0,1,1,510
seq_01258,3.1479,6.172,162.01,510,3.2742,12.2195,745.82,42,1,0,1,1,510
seq_01259,3.1413,6.159,162.35,510,2.618,7.4641,745.82,42,1,0,1,1,510
seq_01260,3.1545,6.185,161.67,510,3.3654,14.3666,745.82,42,1,0,1,1,510
seq_01261,3.1468,6.17,162.07,510,2.4101,6.6326,745.82,42,1,0,1,1,510
seq_01262,3.151,6.178,161.85,510,2.8107,8.6852,745.82,42,1,0,1,1,510
seq_01263,3.1452,6.167,161.84,509,3.2736,11.2328,745.82,42,1,0,1,1,510
seq_01264,3.1493,6.175,161.94,510,2.6731,8.4409,745.82,42,1,0,1,1,510
seq_01265,3.1507,6.178,161.87,510,3.0491,11.7427,745.82,42,1,0,1,1,510
seq_01266,3.1418,6.16,162.33,510,3.1198,12.4361,745.82,42,1,0,1,1,510
seq_01267,3.1516,6.18,161.82,510,3.099,12.8129,745.82,42,1,0,1,1,510
seq_01268,3.1494,6.175,160.98,507,4.0908,15.8985,745.82,42,1,0,1,1,510
seq_01269,3.1842,6.244,160.17,510,3.059,17.2511,745.82,42,1,0,1,1,510
seq_01270,3.143,6.163,162.26,510,2.6379,10.3844,745.82,42,1,0,1,1,510
seq_01271,3.1428,6.162,162.28,510,3.1095,13.872,745.82,42,1,0,1,1,510
