seq_id,gen_time,avg_latency,self_ppl,posthoc_ppl,memory_mb,steps,mask_ratio
0,0.30223870277404785,0.007018816471099853,17.38595254802755,1.603677749633789,51.384765625,40,0.15
1,0.3006260395050049,0.006981009244918823,17.449396047234963,1.5838868618011475,51.384765625,40,0.15
2,0.3004453182220459,0.006971985101699829,16.565801049793194,1.5910520553588867,51.384765625,40,0.15
3,0.3011016845703125,0.0069911181926727295,17.71164876345739,1.5766823291778564,51.384765625,40,0.15
4,0.30110669136047363,0.0069914102554321286,17.580595772736952,1.5847269296646118,51.384765625,40,0.15
5,0.3000953197479248,0.0069650053977966305,16.703158765708586,1.560868263244629,51.384765625,40,0.15
6,0.30031895637512207,0.0069672465324401855,17.474547720548344,1.5827685594558716,51.384765625,40,0.15
7,0.3004720211029053,0.006977438926696777,17.188301272047024,1.5468218326568604,51.384765625,40,0.15
8,0.3008897304534912,0.006986391544342041,16.416562409930734,1.5324792861938477,51.384765625,40,0.15
9,0.30084967613220215,0.006986045837402343,17.584435610533482,1.5871750116348267,51.384765625,40,0.15
10,0.30064868927001953,0.0069815993309021,17.412898669478526,1.5966625213623047,51.384765625,40,0.15
11,0.29997706413269043,0.006962549686431885,17.19813633374996,1.6264474391937256,51.384765625,40,0.15
12,0.30095767974853516,0.006988352537155152,17.93813503281574,1.595412015914917,51.384765625,40,0.15
13,0.30021023750305176,0.006969553232192993,17.59819298625908,1.6030700206756592,51.384765625,40,0.15
14,0.30050230026245117,0.006976300477981567,17.445720419124417,1.5641169548034668,51.384765625,40,0.15
15,0.30072665214538574,0.006982749700546265,17.13887670812419,1.5730395317077637,51.384765625,40,0.15
16,0.30145835876464844,0.007001441717147827,16.688092997848408,1.5273311138153076,51.384765625,40,0.15
17,0.3017141819000244,0.007005500793457031,17.264544566435642,1.4894479513168335,51.384765625,40,0.15
18,0.30153965950012207,0.00699833631515503,17.264606843377102,1.5667394399642944,51.384765625,40,0.15
19,0.30136728286743164,0.00699833631515503,17.633711191793612,1.5723546743392944,51.384765625,40,0.15
20,0.30214476585388184,0.007017689943313599,17.9666815191438,1.5759633779525757,51.384765625,40,0.15
21,0.3008599281311035,0.006984615325927734,17.805113381305123,1.6373848915100098,51.384765625,40,0.15
22,0.300264835357666,0.006972372531890869,17.355378456188657,1.5748319625854492,51.384765625,40,0.15
23,0.3008546829223633,0.0069865167140960695,15.840764073419592,1.615547776222229,51.384765625,40,0.15
24,0.30143189430236816,0.00699918270111084,16.360612553753377,1.592518925666809,51.384765625,40,0.15
25,0.300595760345459,0.006980127096176148,17.147904083470024,1.568833589553833,51.384765625,40,0.15
26,0.3006882667541504,0.006979924440383911,17.23739514833964,1.5445287227630615,51.384765625,40,0.15
27,0.30082225799560547,0.006985795497894287,17.786221161377153,1.615341305732727,51.384765625,40,0.15
28,0.30045223236083984,0.0069747745990753176,17.41157122136607,1.5565714836120605,51.384765625,40,0.15
29,0.30113935470581055,0.00699281096458435,16.83401948497551,1.5222103595733643,51.384765625,40,0.15
30,0.320087194442749,0.0074126899242401125,17.21899569917229,1.5849676132202148,51.384765625,40,0.15
31,0.29871368408203125,0.006932413578033448,17.34759395347183,1.5630258321762085,51.384765625,40,0.15
32,0.299741268157959,0.006957632303237915,16.928310619369697,1.5239789485931396,51.384765625,40,0.15
33,0.2979111671447754,0.006911176443099976,17.17949084099579,1.5144503116607666,51.384765625,40,0.15
34,0.29950451850891113,0.006947058439254761,17.399169075075154,1.622853398323059,51.384765625,40,0.15
35,0.29804158210754395,0.006915980577468872,17.410466605754014,1.5670009851455688,51.384765625,40,0.15
36,0.2995939254760742,0.006952637434005737,17.39946658741783,1.5634175539016724,51.384765625,40,0.15
37,0.2988424301147461,0.006934595108032226,17.708991142076467,1.5473101139068604,51.384765625,40,0.15
38,0.29833030700683594,0.0069214820861816405,17.17831394313492,1.533851981163025,51.384765625,40,0.15
39,0.2983582019805908,0.00692204236984253,17.322501147025225,1.6161314249038696,51.384765625,40,0.15
40,0.29822516441345215,0.006918495893478394,16.98990243683686,1.5491570234298706,51.384765625,40,0.15
41,0.2981703281402588,0.0069195091724395755,17.152380871669706,1.600712776184082,51.384765625,40,0.15
42,0.2982158660888672,0.0069200992584228516,17.198292069917855,1.526423454284668,51.384765625,40,0.15
43,0.29847145080566406,0.006926023960113525,17.41659009092914,1.5435528755187988,51.384765625,40,0.15
44,0.29966187477111816,0.006957066059112549,16.48522497464664,1.5632805824279785,51.384765625,40,0.15
45,0.2995624542236328,0.006954801082611084,16.950351749580566,1.5364303588867188,51.384765625,40,0.15
46,0.30002260208129883,0.006964337825775146,17.343051441650648,1.5417840480804443,51.384765625,40,0.15
47,0.29953455924987793,0.006950700283050537,17.94348538150566,1.583818793296814,51.384765625,40,0.15
48,0.30047011375427246,0.006977087259292603,17.46497269843464,1.5857501029968262,51.384765625,40,0.15
49,0.2997398376464844,0.006959092617034912,17.140350964700737,1.572370171546936,51.384765625,40,0.15
50,0.30011868476867676,0.00696638822555542,17.630476528423006,1.5801234245300293,51.384765625,40,0.15
51,0.3006463050842285,0.006973826885223388,17.52954461506834,1.5666546821594238,51.384765625,40,0.15
52,0.3006277084350586,0.006979238986968994,17.887035181031376,1.5386370420455933,51.384765625,40,0.15
53,0.3010904788970947,0.006991326808929443,17.48984447098811,1.5817724466323853,51.384765625,40,0.15
54,0.30069398880004883,0.0069768428802490234,17.81068861497718,1.5844907760620117,51.384765625,40,0.15
55,0.30140089988708496,0.0069959163665771484,17.563182773879433,1.5262867212295532,51.384765625,40,0.15
56,0.3011624813079834,0.006992107629776001,17.38385083211252,1.5698872804641724,51.384765625,40,0.15
57,0.3004765510559082,0.0069770276546478275,17.651581655456074,1.5596404075622559,51.384765625,40,0.15
58,0.300961971282959,0.006987011432647705,16.8083879393885,1.5243490934371948,51.384765625,40,0.15
59,0.3006255626678467,0.006979823112487793,17.547456566067538,1.5642000436782837,51.384765625,40,0.15
60,0.3005664348602295,0.006977158784866333,18.30178572142838,1.5999926328659058,51.384765625,40,0.15
61,0.30016589164733887,0.006966477632522583,17.02733319473849,1.5432745218276978,51.384765625,40,0.15
62,0.30002641677856445,0.006963944435119629,17.701974341802668,1.5940157175064087,51.384765625,40,0.15
63,0.3028111457824707,0.007032418251037597,17.724676804633713,1.5980138778686523,51.384765625,40,0.15
64,0.29683828353881836,0.006884974241256714,17.549121682810295,1.554527997970581,51.384765625,40,0.15
65,0.29652976989746094,0.0068761885166168215,17.327300054494987,1.5770046710968018,51.384765625,40,0.15
66,0.29761791229248047,0.006903922557830811,17.41529747524755,1.5805439949035645,51.384765625,40,0.15
67,0.2973036766052246,0.006896644830703735,17.104912236523244,1.5962748527526855,51.384765625,40,0.15
68,0.2971940040588379,0.006892514228820801,17.218868269926418,1.5868546962738037,51.384765625,40,0.15
69,0.29648542404174805,0.00687636137008667,17.856684208873975,1.5678225755691528,51.384765625,40,0.15
70,0.29732298851013184,0.0068955540657043455,17.329990309729368,1.5771304368972778,51.384765625,40,0.15
71,0.29703545570373535,0.006889253854751587,17.521338298410722,1.5954656600952148,51.384765625,40,0.15
72,0.29732799530029297,0.006893730163574219,16.693879720129814,1.5509114265441895,51.384765625,40,0.15
73,0.29674601554870605,0.006882363557815551,17.16128113482889,1.581043004989624,51.384765625,40,0.15
74,0.29650044441223145,0.0068754076957702635,16.902141082786404,1.5785197019577026,51.384765625,40,0.15
75,0.2965817451477051,0.006877833604812622,17.36229461674353,1.6175029277801514,51.384765625,40,0.15
76,0.2964022159576416,0.006872999668121338,17.789455889558173,1.5726795196533203,51.384765625,40,0.15
77,0.29902124404907227,0.006937962770462036,17.406640170846856,1.5444716215133667,51.384765625,40,0.15
78,0.2994349002838135,0.006947749853134155,17.59396140268207,1.5490913391113281,51.384765625,40,0.15
79,0.30034780502319336,0.006968384981155396,17.54757577825342,1.5928676128387451,51.384765625,40,0.15
80,0.2997856140136719,0.006956404447555542,17.566538474911837,1.553674578666687,51.384765625,40,0.15
81,0.2997438907623291,0.006955963373184204,17.66053804775326,1.5936042070388794,51.384765625,40,0.15
82,0.2999904155731201,0.006962281465530395,16.936138363854962,1.5850263833999634,51.384765625,40,0.15
83,0.2997467517852783,0.0069556176662445065,16.79773081643164,1.5236518383026123,51.384765625,40,0.15
84,0.30005478858947754,0.006963706016540528,17.472914562707196,1.546157717704773,51.384765625,40,0.15
85,0.3010234832763672,0.006982672214508057,17.59673345292637,1.597612977027893,51.384765625,40,0.15
86,0.2993354797363281,0.006948775053024292,17.589605921548152,1.5519613027572632,51.384765625,40,0.15
87,0.29897284507751465,0.006937450170516968,17.36508219512518,1.5245606899261475,51.384765625,40,0.15
88,0.3004326820373535,0.006976425647735596,15.52890921857883,1.5636508464813232,51.384765625,40,0.15
89,0.30092406272888184,0.006984752416610718,17.339925423733618,1.5225255489349365,51.384765625,40,0.15
90,0.30135607719421387,0.0069971740245819095,17.619439689372477,1.5336792469024658,51.384765625,40,0.15
91,0.30107688903808594,0.006991451978683472,17.058562278494318,1.5633941888809204,51.384765625,40,0.15
92,0.3000485897064209,0.006966769695281982,17.11980953037099,1.578421950340271,51.384765625,40,0.15
93,0.30098819732666016,0.00699043869972229,17.61967872343325,1.5452048778533936,51.384765625,40,0.15
94,0.3006432056427002,0.006979566812515259,15.823009956074733,1.55669105052948,51.384765625,40,0.15
95,0.30071353912353516,0.006982493400573731,17.530793429781564,1.5692901611328125,51.384765625,40,0.15
96,0.30074357986450195,0.006982672214508057,16.61502572047556,1.5660783052444458,51.384765625,40,0.15
97,0.3218972682952881,0.0074783265590667725,18.05592428608527,1.6230653524398804,51.384765625,40,0.15
98,0.29944348335266113,0.006949096918106079,16.708586761352226,1.5534051656723022,51.384765625,40,0.15
99,0.2981436252593994,0.0069178521633148195,17.27344579441557,1.5700525045394897,51.384765625,40,0.15
100,0.2999098300933838,0.00696071982383728,17.394590954174273,1.5532126426696777,51.384765625,40,0.15
101,0.30004262924194336,0.006966137886047363,17.728323350463274,1.595715880393982,51.384765625,40,0.15
102,0.3000500202178955,0.0069618761539459225,17.44251158703306,1.5876902341842651,51.384765625,40,0.15
103,0.30043458938598633,0.006971603631973267,16.208040274142554,1.5301246643066406,51.384765625,40,0.15
104,0.29994869232177734,0.006962102651596069,16.179949497280976,1.5661391019821167,51.384765625,40,0.15
105,0.299593448638916,0.006955605745315552,17.592105739908583,1.659574270248413,51.384765625,40,0.15
106,0.2994246482849121,0.006950187683105469,16.829852612566008,1.636198878288269,51.384765625,40,0.15
107,0.30009031295776367,0.006966292858123779,17.21135891031559,1.5551503896713257,51.384765625,40,0.15
108,0.3002445697784424,0.006971275806427002,17.71393876729792,1.5721067190170288,51.384765625,40,0.15
109,0.29985690116882324,0.006959694623947144,16.798897221863434,1.5527911186218262,51.384765625,40,0.15
110,0.3012542724609375,0.006994694471359253,17.711154255441038,1.5950528383255005,51.384765625,40,0.15
111,0.30077195167541504,0.006984513998031616,17.494082173915388,1.5317285060882568,51.384765625,40,0.15
112,0.3002338409423828,0.006970787048339843,17.827561957010232,1.6275910139083862,51.384765625,40,0.15
113,0.3016164302825928,0.007006853818893433,17.465747444926894,1.5896550416946411,51.384765625,40,0.15
114,0.30012965202331543,0.006968051195144653,16.97246883403091,1.5693975687026978,51.384765625,40,0.15
115,0.30127406120300293,0.006996345520019531,17.75202613146594,1.6093814373016357,51.384765625,40,0.15
116,0.3000974655151367,0.006965869665145874,17.275605945316215,1.5506987571716309,51.384765625,40,0.15
117,0.3010566234588623,0.006990158557891845,17.542770937793218,1.5728883743286133,51.384765625,40,0.15
118,0.30104875564575195,0.006981575489044189,17.356944988716442,1.5654503107070923,51.384765625,40,0.15
119,0.3019406795501709,0.007012021541595459,16.33447962621931,1.4920430183410645,51.384765625,40,0.15
120,0.30094242095947266,0.006986165046691894,17.358999901080264,1.5972555875778198,51.384765625,40,0.15
121,0.30144572257995605,0.007001101970672607,17.359746761733103,1.5691009759902954,51.384765625,40,0.15
122,0.30142664909362793,0.006999605894088745,17.25405153320029,1.6353192329406738,51.384765625,40,0.15
123,0.30034732818603516,0.006969517469406128,17.24587143401768,1.541372299194336,51.384765625,40,0.15
124,0.3017234802246094,0.007009279727935791,16.81418577001179,1.4901093244552612,51.384765625,40,0.15
125,0.30046916007995605,0.006977248191833496,17.179611361191853,1.573961615562439,51.384765625,40,0.15
126,0.3007395267486572,0.006984066963195801,16.874004450940422,1.5264112949371338,51.384765625,40,0.15
127,0.29993414878845215,0.006963902711868286,17.247219363199385,1.5670909881591797,51.384765625,40,0.15
128,0.3007495403289795,0.006982243061065674,17.16708013764103,1.5919411182403564,51.384765625,40,0.15
