model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
esm,seq_00001,510,0.43117420801844875,0.8493198202795547,0.9991164417802472,4.288843742004486,-0.617843137254902,0.06470588235294118,71189,0.0,0.0,0,0,0,0,0
esm,seq_00002,510,0.38460067354225075,0.8452954668769636,0.9990565791008447,4.302190728273289,-0.5437254901960783,0.050980392156862744,69411,0.0,0.0,1,0,0,0,1
esm,seq_00003,510,0.41971237577766424,0.8559455505109578,0.9991377669706378,4.293455694162741,-0.433921568627451,0.027450980392156862,70359,0.0,0.0,0,0,0,0,0
esm,seq_00004,510,0.3020611011556215,0.83042022249953,0.9990787514527814,4.274660825394441,-0.8305882352941177,0.03529411764705882,68941,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00005,510,0.36054735299866464,0.8439947356769731,0.9991733830980519,4.299194300742681,-0.3968627450980392,0.027450980392156862,68480,0.0,0.0,0,0,1,0,0
esm,seq_00006,510,0.39195852174393897,0.8507464659199253,0.9990239423284574,4.297995545753617,-0.5054901960784314,0.06862745098039216,70293,0.0,0.0,0,0,1,0,0
esm,seq_00007,510,0.37554745839362746,0.8433431303523274,0.9991685028918329,4.284463611742282,-0.5464705882352942,0.060784313725490195,70035,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00008,510,0.32465838344384745,0.8375235573977309,0.9991965302437937,4.277956908076695,-0.547843137254902,0.027450980392156862,69424,0.0,0.0,0,0,0,0,0
esm,seq_00009,510,0.46065162557358125,0.8530996636428811,0.9993654180473116,4.282954830367059,-0.5558823529411765,0.060784313725490195,69895,0.007874015748031496,0.0,0,0,0,0,0
esm,seq_00010,510,0.3430777067479604,0.8280820505648446,0.9990180944823419,4.273366214134099,-0.6780392156862746,0.025490196078431372,69587,0.001968503937007874,0.0,0,0,1,0,0
esm,seq_00011,510,0.3444674967409687,0.8390283111543775,0.9991106676157544,4.281961857892883,-0.6127450980392157,0.09607843137254903,68645,0.0,0.0,0,0,0,0,0
esm,seq_00012,510,0.3820378376129163,0.8451952950189591,0.9992617832268679,4.294884913826941,-0.3213725490196079,0.03529411764705882,70684,0.0,0.0,0,0,0,1,0
