count,mean,sd,sem,ci_lower,ci_upper,model,metric
2000,573.008,258.4867867725544,5.7813857922508,561.6764838471885,584.3395161528116,train,length
2000,0.21671828290799833,0.07170508412574851,0.001603775418360253,0.21357488308801223,0.21986168272798443,train,aa_L1_divergence
2000,0.7528578056894136,0.06673021325735548,0.0014925061031433105,0.7499324937272528,0.7557831176515745,train,kmer3_JSD
2000,0.9859508811461883,0.007187345744410885,0.0001607541301803336,0.9856358030510349,0.9862659592413417,train,kmer5_JSD
2000,4.128837951499951,0.06628626154650943,0.001482576558404959,4.125932101445477,4.131743801554425,train,shannon_entropy
2000,-0.37002595745364475,0.2102030891726412,0.00470145947653124,-0.379240818027646,-0.3608110968796435,train,hydrophobicity
2000,0.02695788276255087,0.02745873950960022,0.0006141496378056805,0.025754149472451734,0.028161616052650003,train,net_charge
2000,74503.2165,33237.5025816265,743.3990247416303,73046.1544115064,75960.27858849359,train,molecular_weight
2000,0.007584981035401539,0.0073574484734618755,0.00016455869409339667,0.007262445994978481,0.007907516075824596,train,repetitive_content
2000,0.0075805258449537305,0.015998574141065987,0.00035782846152525565,0.006879182060364229,0.00828186962954323,train,low_complexity_fraction
2000,471.4865,1.1890406847538904,0.026594407424365116,471.4343749614482,471.53862503855174,fnet,length
2000,0.37327653476077904,0.03945472024519852,0.0008824550063502134,0.37154692294833264,0.37500614657322545,fnet,aa_L1_divergence
2000,0.8539099915731897,0.007044683081597619,0.00015756329825359754,0.8536011675086127,0.8542188156377667,fnet,kmer3_JSD
2000,0.9991869401419903,0.00015234545198423616,3.4073998234605607e-06,0.9991802616383363,0.9991936186456443,fnet,kmer5_JSD
2000,4.292761689089452,0.009452691700323288,0.0002114214740998077,4.292347303000216,4.293176075178687,fnet,shannon_entropy
2000,-0.4968985305874189,0.1337250682958369,0.0029909312563569978,-0.5027607558498786,-0.4910363053249592,fnet,hydrophobicity
2000,0.0503798941572091,0.023175421758607675,0.0005183477877441,0.049363932493230664,0.05139585582118754,fnet,net_charge
2000,64464.018,660.751122341839,14.77853935443978,64435.052062865296,64492.9839371347,fnet,molecular_weight
2000,0.0024396375823931182,0.0023831986236182013,5.330326874627262e-05,0.002335163175650424,0.0025441119891358127,fnet,repetitive_content
2000,6.073783293126185e-05,0.00047636090675170904,1.0654417630644075e-05,3.9855174375199464e-05,8.162049148732424e-05,fnet,low_complexity_fraction
2000,505.352,43.6676550320715,0.9766826518891643,503.4377020022972,507.26629799770274,progen,length
2000,0.4096077576949245,0.15210629634254208,0.0034020508033180213,0.4029397381204212,0.4162757772694278,progen,aa_L1_divergence
2000,0.7805372067337845,0.022194606205750166,0.0004964106002657377,0.7795642419572636,0.7815101715103053,progen,kmer3_JSD
1991,0.9968182570967741,0.0009888334436644614,2.2166473612569563e-05,0.9967748108084934,0.9968617033850548,progen,kmer5_JSD
2000,3.970104439023875,0.21123523741135955,0.00472454478482622,3.9608443312456156,3.9793645468021346,progen,shannon_entropy
2000,-0.5464659490696997,0.31642049448424725,0.007077146859339722,-0.5603371569140055,-0.5325947412253939,progen,hydrophobicity
2000,0.041222114384479015,0.03485137709332413,0.0007794953811121182,0.039694303437499266,0.042749925331458764,progen,net_charge
2000,63398.647,5724.804323327654,128.04253088350382,63147.68363946833,63649.61036053167,progen,molecular_weight
2000,0.016995330034273518,0.012381215078225144,0.0002769216246516958,0.016452563649956193,0.017538096418590842,progen,repetitive_content
2000,0.024726527460812518,0.0288593268751964,0.0006454755558433737,0.023461395371359505,0.02599165955026553,progen,low_complexity_fraction
2000,509.9995,0.022355088906108163,0.0005,509.99852,510.00048000000004,esm,length
2000,0.3586677926234173,0.03885795976154243,0.0008691076990287686,0.3569643415333209,0.3603712437135137,esm,aa_L1_divergence
2000,0.8422348292404694,0.007278483897430785,0.00016279255090419388,0.8419157558406972,0.8425539026402417,esm,kmer3_JSD
2000,0.9990820574431392,0.00016785890967325716,3.7543780384472658e-06,0.9990746988621838,0.9990894160240945,esm,kmer5_JSD
2000,4.293341651104989,0.00931108729418258,0.00020825431142970047,4.292933472654587,4.2937498295553915,esm,shannon_entropy
2000,-0.4843752355637737,0.13314136491298115,0.0029778759877041342,-0.4902118724996738,-0.4785385986278736,esm,hydrophobicity
2000,0.04857752224661967,0.02263101384609093,0.0005061714122708629,0.04758542627856878,0.049569618214670555,esm,net_charge
2000,69564.0765,673.747689159488,15.069224103497024,69534.54082075715,69593.61217924285,esm,molecular_weight
2000,0.0025787440401310786,0.002334900207929679,5.222301324177929e-05,0.002476386934177191,0.002681101146084966,esm,repetitive_content
2000,5.911823647294588e-05,0.0004810861145606822,1.0760102913955163e-05,3.802843476159376e-05,8.0208038184298e-05,esm,low_complexity_fraction
