seq_id,gen_time,avg_latency,self_ppl,posthoc_ppl,memory_mb,steps,mask_ratio
0,0.4983224868774414,0.0117434561252594,4.437640195860468,2520492800.0,456.6083984375,40,0.2
1,0.49889159202575684,0.011758935451507569,4.633762020897686,3799183616.0,456.6083984375,40,0.2
2,0.49718165397644043,0.011719703674316406,4.678838915548377,1199204608.0,456.6083984375,40,0.2
3,0.4979104995727539,0.011735665798187255,4.603307084702953,1668335360.0,456.6083984375,40,0.2
4,0.4976379871368408,0.01173134446144104,4.419413607154393,3216039680.0,456.6083984375,40,0.2
5,0.49797964096069336,0.011738711595535278,4.893606722799271,2684862976.0,456.6083984375,40,0.2
6,0.4976015090942383,0.011732470989227296,4.48682665467292,4250511872.0,456.6083984375,40,0.2
7,0.49817633628845215,0.011743658781051635,4.9101835965216365,2717102080.0,456.6083984375,40,0.2
8,0.4972958564758301,0.011723864078521728,4.88697741800546,2860039424.0,456.6083984375,40,0.2
9,0.5049586296081543,0.011876899003982543,4.707456906261586,2648637952.0,456.6083984375,40,0.2
10,0.4975399971008301,0.01172701120376587,4.732226149377236,3495795456.0,456.6083984375,40,0.2
11,0.4973914623260498,0.011722081899642944,4.549909298859426,2201929728.0,456.6083984375,40,0.2
12,0.49668049812316895,0.011709004640579224,4.484054258368618,1695545344.0,456.6083984375,40,0.2
13,0.497161865234375,0.011720484495162964,4.421981477135569,1888842496.0,456.6083984375,40,0.2
14,0.4972696304321289,0.011718720197677612,4.873498861007502,2459627520.0,456.6083984375,40,0.2
15,0.49730515480041504,0.011720269918441772,4.761212936360943,1477499392.0,456.6083984375,40,0.2
16,0.4973635673522949,0.011722993850708009,4.646898669108917,3452532224.0,456.6083984375,40,0.2
17,0.49786901473999023,0.011735308170318603,4.741321079095166,2441669120.0,456.6083984375,40,0.2
18,0.49660611152648926,0.011703705787658692,4.736486438254841,1647540608.0,456.6083984375,40,0.2
19,0.4977233409881592,0.011734408140182496,4.633893580898781,1827554176.0,456.6083984375,40,0.2
20,0.49747490882873535,0.011727601289749146,4.619753053929006,1518231424.0,456.6083984375,40,0.2
21,0.4975101947784424,0.011727529764175414,4.7831974019131,1575759616.0,456.6083984375,40,0.2
22,0.49754762649536133,0.011729943752288818,4.540199067683829,2421411328.0,456.6083984375,40,0.2
23,0.4980766773223877,0.011738598346710205,4.5026452058698565,828021504.0,456.6083984375,40,0.2
24,0.4979438781738281,0.011738395690917969,4.663572477683194,3459281920.0,456.6083984375,40,0.2
25,0.4973752498626709,0.01172615885734558,4.526419287840626,1765618944.0,456.6083984375,40,0.2
26,0.4973146915435791,0.01172323226928711,4.6076642262127026,2298868992.0,456.6083984375,40,0.2
27,0.49763011932373047,0.011730319261550904,4.498825325420041,2340171520.0,456.6083984375,40,0.2
28,0.49807095527648926,0.01174275279045105,4.5987663451379595,2904031488.0,456.6083984375,40,0.2
29,0.4970591068267822,0.01171678900718689,4.512195663484483,1898841088.0,456.6083984375,40,0.2
30,0.49649620056152344,0.011703628301620483,4.662139802666702,1044316288.0,456.6083984375,40,0.2
31,0.4972398281097412,0.01171969175338745,4.825625176286427,2959744256.0,456.6083984375,40,0.2
32,0.49823474884033203,0.011745786666870118,4.49747548677195,3225241856.0,456.6083984375,40,0.2
33,0.49816441535949707,0.011743026971817016,4.540660895848913,1607694080.0,456.6083984375,40,0.2
34,0.4989652633666992,0.011761683225631713,4.645074720218107,2870324480.0,456.6083984375,40,0.2
35,0.49805188179016113,0.01174270510673523,4.697028033904712,3117330432.0,456.6083984375,40,0.2
36,0.497927188873291,0.011739689111709594,4.468934105660724,2928354816.0,456.6083984375,40,0.2
37,0.49855661392211914,0.011755329370498658,4.565914489930717,2235658240.0,456.6083984375,40,0.2
38,0.4986295700073242,0.011756068468093872,4.919826521876792,1342530816.0,456.6083984375,40,0.2
39,0.498004674911499,0.0117387592792511,4.92093901325442,2087060608.0,456.6083984375,40,0.2
40,0.49814844131469727,0.011742538213729859,4.2886221207148925,1589770240.0,456.6083984375,40,0.2
41,0.49735260009765625,0.01172480583190918,4.462254369242441,2797967360.0,456.6083984375,40,0.2
42,0.4979259967803955,0.011737960577011108,4.489370486845585,3675411712.0,456.6083984375,40,0.2
43,0.4978034496307373,0.011734837293624878,4.496356147779122,1685716736.0,456.6083984375,40,0.2
44,0.4978804588317871,0.01173456311225891,4.6913902949380715,1338419456.0,456.6083984375,40,0.2
45,0.49829888343811035,0.011741328239440917,4.754327576709237,2069097600.0,456.6083984375,40,0.2
46,0.49809789657592773,0.011741727590560913,4.697636946351036,2650057984.0,456.6083984375,40,0.2
47,0.4968290328979492,0.01170995831489563,4.453574635834654,1608114176.0,456.6083984375,40,0.2
48,0.49753522872924805,0.01172913908958435,4.568905889866094,2488658688.0,456.6083984375,40,0.2
49,0.49787425994873047,0.0117362380027771,4.580480611101246,1632117888.0,456.6083984375,40,0.2
50,0.49820637702941895,0.011742806434631348,4.494812510202268,2541056000.0,456.6083984375,40,0.2
51,0.4979381561279297,0.011736565828323364,4.550543928853417,2350760704.0,456.6083984375,40,0.2
52,0.49776482582092285,0.011733108758926391,4.534982301742149,2586710016.0,456.6083984375,40,0.2
53,0.4975440502166748,0.01172892451286316,4.572969397718333,1610364032.0,456.6083984375,40,0.2
54,0.4980003833770752,0.011740964651107789,4.704548182952291,2640496896.0,456.6083984375,40,0.2
55,0.5088567733764648,0.011972635984420776,4.704768904080763,1896452224.0,456.6083984375,40,0.2
56,0.49764204025268555,0.011729466915130615,4.747595833349794,2551970048.0,456.6083984375,40,0.2
57,0.497316837310791,0.01172066330909729,4.515461743337301,1142280704.0,456.6083984375,40,0.2
58,0.49779772758483887,0.011734366416931152,4.781391409753061,1696308864.0,456.6083984375,40,0.2
59,0.49706315994262695,0.011718165874481202,4.433191168556134,2943760640.0,456.6083984375,40,0.2
60,0.4985966682434082,0.011750626564025878,4.653861839082032,1316651776.0,456.6083984375,40,0.2
61,0.4984261989593506,0.011749118566513062,4.596023522954035,2068336128.0,456.6083984375,40,0.2
62,0.499234676361084,0.01176636815071106,4.586387169561601,2082686464.0,456.6083984375,40,0.2
63,0.4981083869934082,0.011743265390396117,4.5677797943948235,2080296448.0,456.6083984375,40,0.2
64,0.498089075088501,0.011743831634521484,4.595412460550555,3313959680.0,456.6083984375,40,0.2
65,0.49771642684936523,0.011733520030975341,4.7581656275859245,2776468992.0,456.6083984375,40,0.2
66,0.4974677562713623,0.011729168891906738,4.645943958168941,1804065792.0,456.6083984375,40,0.2
67,0.49695324897766113,0.01171768307685852,4.542703576000774,1057519616.0,456.6083984375,40,0.2
68,0.49800801277160645,0.011740362644195557,4.562487334219775,3866350080.0,456.6083984375,40,0.2
69,0.49758052825927734,0.011731612682342529,4.677152473789187,948068288.0,456.6083984375,40,0.2
70,0.4977884292602539,0.011733955144882202,4.6383699366840565,2518244096.0,456.6083984375,40,0.2
71,0.497908353805542,0.011737620830535889,4.595351822928792,1628650496.0,456.6083984375,40,0.2
72,0.49811840057373047,0.011740154027938843,4.444634543873873,1411354496.0,456.6083984375,40,0.2
73,0.4975118637084961,0.011725300550460815,4.608201720979567,1684868096.0,456.6083984375,40,0.2
74,0.49760890007019043,0.011729174852371215,4.845510711146348,3090517760.0,456.6083984375,40,0.2
75,0.4982874393463135,0.011743098497390747,4.6882655650809975,2516429056.0,456.6083984375,40,0.2
76,0.4970417022705078,0.011714035272598266,4.742761282768436,2894293760.0,456.6083984375,40,0.2
77,0.49710702896118164,0.011716616153717042,4.640510392572133,3262189568.0,456.6083984375,40,0.2
78,0.4976925849914551,0.011732077598571778,4.681024785583799,2425312512.0,456.6083984375,40,0.2
79,0.49884772300720215,0.011759859323501588,4.509443239817362,1952998144.0,456.6083984375,40,0.2
80,0.4985485076904297,0.011748647689819336,4.484253740471489,1223409664.0,456.6083984375,40,0.2
81,0.49763941764831543,0.011726784706115722,4.860166585519369,1032913856.0,456.6083984375,40,0.2
82,0.4983232021331787,0.011744415760040284,4.66227494883378,1827993344.0,456.6083984375,40,0.2
